,Name,Regular,English,Notes,Breakdown
0,DOM_Scriptures,^'ušta.^φyrxkeθəɢð-ɣẅəixiww-səkţɢiss.^šχa'θ-jɒ'gmo'θ-jɒɒ'g-mo'yθ-jnaķem-ʁirukem.^xẅots-šχa'θɢiss-'iixtfu'eq.,"From void evolved Phyrexia. Great Yawgmoth, Father of Machines, saw its perfection. Thus the Grand Evolution began.",A couple glyphs are wrong in this art piece. See the artist's blueprint for the correct version. The translation shows up on Dark Ritual from Urza's Saga.,(past-narrative) phyrexian-world from_void ?-evolution great yawgmoth [pl]machine [4>3]father [3>4]perfection ?_[3>4]see.(thus) great-evolution [3>4]begin
1,UMA_Altar,^'ušta.^əxtxš.,Unskin.,Deduced from the card's flavor text.,(past-narrative) unskin
2,Yawg_Test,^fedχstsqylm-jɒɒ'g-mo'yθ.^ťe-qə-dlčxət'θəxt-xe-natlč-xexə-ɢwyynuš-žkiɢəronɣ-buǩuð.^baqilx-ɢwynuš-hθuqxiwwθəxt-hčxət'θəxtðə-žkiɢəronx-vuwyk-loqit-tektθəxt-ǩeǆylqitsodrm-vuwuk.^kašplʁums.,"Yawgmoth's Testament. Sorcery. Until end of turn, you may play face-up cards you own from exile. If a card would be put into your graveyard or exile from anywhere this turn, put it on the bottom of your library instead.",We're using the corrected version WotC published.,"testament [pl]machine [4>3]father.(can) (that) in_exile (indicative) face (indicative-and) [pl,2>2]card for_this_turn [2>3]play.(if-would) [2>2]card to_graveyard to_exile_or for_this_turn [4>3]move (imperative-but) library bottom [2>?]move.sorcery"
3,NPH_Norn,^'elš-norn šχa'θǆønobt.^ʁajgφe'x φyrx-pxajtr.^ɣwipnrukm.^xe-sall-qə-qxuπul-xexə-πee'x-ʁitapeq.^xe-qə-əxnɒɒqč-qxuπel-xe-πee'x-ʁitapeq.^xe-porgəxt-ɢyytx-sallkeθəəɢð-ʁi'iǆe'et.^ba-ɢyytx pənan-ǩaπa-ha-φyrxkeθəɢð-'ešχa'θnapyt.,"Elesh Norn, Grand Cenobite. Legendary Creature — Phyrexian Praetor. Vigilance. Other creatures you control get +2/+2. Creatures your opponents control get -2/-2. “The Gitaxians whisper among themselves of other worlds. If they exist, we must bring Phyrexia’s magnificence to them.”",There's a difference between the MTGA and judge promo of this card. The judge promo version is believed to be the correct one.,elesh norn grand-cenobite.legendary-creature phyrexian praetor.vigilance.(indicative) other (that) [2>?]control (indicative-addition) [pl]creature {+2/+2} ?_[3>4]get.(indicative) (that) [pl]opponent [3>4]control (indicative) [pl]creature {-2/-2} ?_[3>4]get.(indicative) group-? [pl]gitaxian other-[pl]world ?_[3>4]whisper.(if) [pl]gitaxian ? (shall) (must) phyrexian-world ?_great_[4>3]?
4,NPH_Ura,^'urbrask əxťeķibrs.^ʁajgφe'x φyrx-pxajtr.^xe-qə-qxuπul-xe-πee'x-ɣwiziklvuwk-ʁitapeq.^baqilx-qə-əxnɒqč-qxuπel-xe-φe'x-əšqtwøǩxθəxt lo-ɣypym.^'uxuφ-mrodnqẅrɮwi'g-močq-χi'ətsxen-'u-'urbrask-χiɢɬčǩaaqq-tǥoθχm.^'u-'asm-keqxǆuɣyp:prosuj-lo.,"Urabrask the Hidden. Legendary Creature — Phyrexian Praetor. Creatures you control have haste. Creatures your opponents control enter the battlefield tapped. When the Mirran resistance arrived, the furnace dwellers looked to Urabrask for guidance. His decree stunned the others: “Let them be.”",,urabrask not_?.legendary-creature phyrexian praetor.(indicative) (that) [2>?]control (indicative) [pl]creature haste ?_[3>4]get.(if-would) (that) opponent [3>4]control (indicative) creature on_battlefield [4>3]tap.(past-when) mirrodin-resistance come ?_[3>4]ask (past) urabrask furnace-[pl]biomechanical ?.(past) decree [4>3]stun.? (imperative)
5,NPH_Jin,^ǆi'n-ɢytx dl'emqrukm.^ʁajgφe'x φyrx-pxajtr.^ɣwiziklʁums.^baxuφ-πlnaķmqpønuč-'iixtfu'q-lo-ɢwiinš-mprɒsuw.^xe-əxnɒɒqč-naql'oparxyχ-sər-mɒɣyg.^əx-πllupsθəxt-xeqit-qpenčodrm:jnaķmφyrxkeθəgð-naķym-qpenčodrm.,"Jin-Gitaxias, Core Augur. Legendary Creature — Phyrexian Praetor. Flash. At the beginning of your end step, draw seven cards. Each opponent’s maximum hand size is reduced by seven. “It is not a goal, but a process—the process of creating the perfect Phyrexia.”",,jin gitaxias complete_?_see.legendary-creature phyrexian praetor.flash.(if-when) complete-[2>2]step begin (imperative) {7} [pl]card [2>2]draw.(indicative) [pl]opponent [4>3]hand-limit by {7} [4>3]reduce.(not) goal (indicative-but) process.perfect-phyrexian-world [4>3]make process
6,NPH_Sheo,^šøldrd naķm'iǆee't.^ʁajgφe'x φyrx-pxajtr.^ɣwiqaškmjment.^baxuφ-dlabzqpønuč-'iixtfu'q-lo-dlθuqxiwwθəxut-φe'xɢwinš-žyxut-loxə-əšqtwøǩxθəxut.^baxuφ-əxnɒqč-dlabzqpenyč-'iixtfu'q lo-φe'yx-no'b'ugym.,"Sheoldred, Whispering One. Legendary Creature — Phyrexian Praetor. Swampwalk. At the beginning of your upkeep, return target creature card from your graveyard to the battlefield. At the beginning of each opponent’s upkeep, that player sacrifices a creature.",,sheoldred make-[pl]whisper.legendary-creature phyrexian praetor.swampwalk.(if-when) [2>2]upkeep begin (imperative) [2>?]graveyard creature-card [2>?]target (imperative-and) on_[2>?]battlefield.(if-when) opponent [4>3]upkeep begin (imperative) [4>3]creature [4>3]sacrifice
7,NPH_Vorin,^vornχlx gagg-xutšyv.^ʁajgφe'x φyrx-pxajtr.^ɣwikfɒǧpan'g.^baxuφ-θəɢð-ma'nɣyπum lo-qə-ŋeǩydym-'u-ma'npøkk-babug.^baxuφ-əxnɒqč-θəɢð-ʁima'nɣypem-əl-naķmqxuπl-ɢəčθəɢð-ɢnagɮəxɣypmqpenyčpxe-ʁiəxɣypem.,"Vorinclex, Voice of Hunger. Legendary Creature — Phyrexian Praetor. Trample. Whenever you tap a land for mana, add one mana of any type that land produced. Whenever an opponent taps a land for mana, that land doesn’t untap during its controller’s next untap step.",,vorinclex hunger [4>3]voice.legendary-creature phyrexian praetor.trample.(if-when) land mana-[2>3]tap (imperative) {1} (that) [4>3]produce (past) mana-type [2>?]add.(if-when) opponent land ?_mana-[3>4]tap (not) make-control this-?_land next-not_tap-[4>3]step-? ?_not_tap
8,KHM_Vorin,^vornχlx 'ežkatmfxarl.^ʁajgφe'x φyrx-pxajtr.^ɣwikfɒǧpan'g ɣwiziklvuwk.^baqilx-əšqnɒqč-əšq'astiwwðə-juuχẅķ-ţə'u'-loqit-ķus'ər-ţə'u'.^baqilx-əxnɒqč-əšqnɒqč-əšq'astiwwðə-juuχẅķ-ʁiţə'e' loqit-plθəxķus'ər-ţə'e'.,"Vorinclex, Monstrous Raider. Legendary Creature — Phyrexian Praetor. Trample, haste. If you would put one or more counters on a permanent or player, put twice that many of each of those kinds of counters on that permanent or player instead. If an opponent would put one or more counters on a permanent or player, they put half that many of each of those kinds of counters on that permanent or player instead, rounded down.",,vorinclex raid-monster.legendary-creature phyrexian praetor.trample haste.(if-would) on_player on_permanent_or [pl]counter [2>?]put (imperative-but) twice [2>?]put.(if-would) opponent on_player on_permanent_or [pl]counter ?_[3>4]put (imperative+but) incomplete_half [3>4]put
9,NEO_Jin,^ǆi'n-ɢytx ǩytπt-grjəťrk.^ʁajgφe'x φyrx-pxajtr.^baxuφ-qxuna'k-ziklʁums-kašplʁums-buǩuð lo-tluxtnaǩm.^ťe-ɢəčtluxtnaķm-šopraptžyxt-ʁšθaǩuɴ.^xe-ɢəčɣəwθ-xeronɣ'ii'ə-džəɬɢt.^baxuφ-əxnɒqč-qxuna'k-ziklʁums-kašplʁums-bukeð lo-šuqøn.^xe-ɢəčɣəwθ-xeronɣ'ii'ə-džəɬɢt.,"Jin-Gitaxias, Progress Tyrant. Legendary Creature — Phyrexian Praetor. Whenever you cast an artifact, instant, or sorcery spell, copy that spell. You may choose new targets for the copy. This ability triggers only once each turn. Whenever an opponent casts an artifact, instant, or sorcery spell, counter that spell. This ability triggers only once each turn.",Meanings for ability and trigger clash with ONE_Norn,jin gitaxias progress tyrant.legendary-creature phyrexian praetor.(if-when) artifact instant sorcery [2>3]play (imperative) [3>3]copy.(can) this_?_copy new-target [2>3]choose.(indicative) this_ability frequency_turn-one [3>3]trigger.(if-would) opponent artifact instant sorcery [3>4]play (imperative) [2>4]counter.(indicative) this_ability frequency_turn-one [3>3]trigger
