,phyrexian,IPA,plural,translation,root,composition,examples,class,native,notes,type,confidence
0,'əǆɒnii',ʔədʒɒniiʔ,FALSE,Ajani,,,['DMU_Ajani'],noun,False,,name,solid
1,'avričt,ʔavritʃt,FALSE,Avaricta,,,['NPH_Agent'],noun,True,,name,solid
2,'elš,ʔelʃ,FALSE,Elesh,,,"['NPH_Norn', 'ONE_Norn', 'BeadleGrimms_Guide']",noun,True,,name,solid
3,ɢytx,ɢytx,FALSE,Gitaxias,,,"['NPH_Jin', 'NEO_Jin']",noun,True,,name,solid
4,ǆes,dʒes,FALSE,Jace,,,['ONE_Jace'],noun,False,,name,solid
5,ǆi'n,dʒiʔn,FALSE,Jin,,,"['NPH_Jin', 'NEO_Jin']",noun,True,,name,solid
6,ǩərrk,k'ərrk,FALSE,K'rrik,,,['C19_Krrik'],noun,True,,name,solid
7,lyku',lykuʔ,FALSE,Lukka,,,['ONE_Lukka'],noun,False,,name,solid
8,nhirii',nhiriiʔ,FALSE,Nahiri,,,['ONE_Nahiri'],noun,False,,name,solid
9,nisə',nisəʔ,FALSE,Nissa,,,['ONE_Nissa'],noun,False,,name,solid
10,norn,norn,FALSE,Norn,,,"['NPH_Norn', 'ONE_Norn', 'NPH_Annex', 'BeadleGrimms_Guide']",noun,True,,name,solid
11,φyrxkeθəɢð,ɸyrxkeθəɢð,FALSE,Phyrexia (plane),"['φyrx', 'θəɢð']",,"['DOM_Scriptures', 'NPH_Norn', 'ONE_Live', 'ONE_Trailer', 'MOM_Teaser', 'ONE_Solphim', 'MTGA', 'BeadleGrimms', 'BeadleGrimms_Guide']",noun,True,,composite,solid
12,šøldrd,ʃøldrd,FALSE,Sheoldred,,,"['NPH_Sheo', 'DMU_Sheo', 'Swamp_Lore']",noun,True,,name,solid
13,'urbrask,ʔurbrask,FALSE,Urabrask,,,"['NPH_Ura', 'SNC_Ura', 'NPH_Agent']",noun,True,,name,solid
14,vornχlx,vornχlx,FALSE,Vorinclex,,,"['NPH_Vorin', 'KHM_Vorin']",noun,True,,name,solid
15,vraskə',vraskəʔ,FALSE,Vraska,,,['ONE_Vraska'],noun,False,,name,solid
16,tam'joo',tamʔjooʔ,FALSE,Tamiyo,,,['NEO_Tami'],noun,False,,name,solid
17,jɒ'gmo'θ,jɒʔgmoʔθ,FALSE,Yawgmoth,,,"['DOM_Scriptures', 'C19_Krrik', 'MTGA']",noun,True,,name,solid
18,ɣøπi't,ɣøp'iʔt,FALSE,Basic,,,"['ONE_Plains', 'ONE_Island', 'ONE_Swamp', 'ONE_Mountain', 'ONE_Forest', 'SLD_Swamp']",adjective,True,,root,solid
19,ʁajg,ʁajg,FALSE,Legendary,['ʁajg'],,"['NPH_Norn', 'NPH_Ura', 'NPH_Jin', 'NPH_Sheo', 'NPH_Vorin', 'KHM_Vorin', 'NEO_Jin', 'NEO_Tami', 'SNC_Ura', 'DMU_Sheo', 'DMU_Ajani', 'ONE_Norn', 'ONE_Jace', 'ONE_Vraska', 'ONE_Lukka', 'ONE_Nissa', 'ONE_Nahiri', 'C19_Krrik', 'NPH_Annex']",adjective,True,,root,solid
20,qxuna'k,qxunaʔk,qxunaa'k,Artifact,"[""qxuna'k""]",,"['NEO_Jin', 'NEO_Tami', 'ONE_Vraska', 'ONE_Nissa', 'NPH_Batterskull', 'NPH_InkNexus', 'MBS_PsyCrawl', 'NPH_Annex']",noun,True,,root,solid
21,φe'x,ɸeʔx,φee'x,Creature,"[""φe'x""]",,"['NPH_Norn', 'NPH_Ura', 'NPH_Jin', 'NPH_Sheo', 'NPH_Vorin', 'KHM_Vorin', 'NEO_Jin', 'NEO_Tami', 'SNC_Ura', 'DMU_Sheo', 'DMU_Ajani', 'ONE_Norn', 'ONE_Jace', 'ONE_Vraska', 'ONE_Lukka', 'ONE_Nissa', 'ONE_Nahiri', 'NPH_Agent', 'NPH_Elf', 'NPH_Batterskull', 'NPH_InkNexus', 'C19_Krrik', 'NPH_Dismember', 'MBS_PsyCrawl', 'NPH_Annex', 'Swamp_Lore', 'ONE_Trailer']",noun,True,,root,solid
22,myθž,myθʒ,myyθž,Enchantment,['myθž'],,['ONE_Arena'],noun,True,,root,solid
23,ziklʁums,ziklʁums,ziklʁuums,Instant,"['zikl', 'ʁums']",,"['NPH_Jin', 'NEO_Jin', 'NPH_Dismember', 'NPH_Misstep', 'NPH_BeastWithin']",noun,True,,composite,solid
24,kašplʁums,kaʃplʁums,kašplʁuums,Sorcery,"['kašpl', 'ʁums']",,"['Yawg_Test', 'NEO_Jin']",noun,True,,composite,solid
25,θəɢð,θəɢð,θəəɢð,Land,['θəɢð'],,"['DOM_Scriptures', 'NPH_Norn', 'NPH_Vorin', 'ONE_Plains', 'ONE_Island', 'ONE_Swamp', 'ONE_Mountain', 'ONE_Forest', 'NPH_InkNexus', 'SLD_Swamp', 'ONE_Live', 'ONE_Trailer', 'MOM_Teaser', 'ONE_Solphim', 'MTGA', 'BeadleGrimms', 'BeadleGrimms_Guide']",noun,True,,root,solid
26,nmhupment,nmhupment,nmhupment,Planeswalker,['ment'],,"['NEO_Tami', 'DMU_Ajani', 'ONE_Jace', 'ONE_Lukka', 'ONE_Nissa', 'ONE_Nahiri', 'NPH_Annex']",noun,True,,composite,solid
